Column 0,ALBANIA,ALGERIA,ANDORRA,ANGOLA,ANGUILLA,ANTIGUA & BARBUDA,ARGENTINA,ARMENIA,ARUBA,AUSTRALIA,AUSTRIA,AZERBAIJAN,BAHAMAS,BAHRAIN,BANGLADESH,BARBADOS,BELARUS,BELGIUM,BELIZE,BENIN,BERMUDA,BHUTAN,BONAIRE SAINT EUSTATIUS AND SABA,BOSNIA & HERZEGOVINA,BOTSWANA,BRAZIL,BRITISH VIRGIN ISLANDS,BRUNEI (DARUSSALAM),BULGARIA,BURKINA FASO,BURUNDI,CAMBODIA,CANADA,CAPE VERDE,CENTRAL AFRICAN REPUBLIC,CHAD,CHILE,CHINA (MAINLAND),COLOMBIA,COMOROS,CONGO,COOK ISLANDS,COSTA RICA,COTE D IVOIRE,CROATIA,CUBA,CURACAO,CYPRUS,CZECHIA,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),DENMARK,DJIBOUTI,DOMINICA,DOMINICAN REPUBLIC,ECUADOR,EGYPT,EL SALVADOR,EQUATORIAL GUINEA,ERITREA,ESTONIA,ETHIOPIA,FAEROE ISLANDS,FEDERATED STATES OF MICRONESIA,FIJI,FINLAND,FRANCE (INCLUDING MONACO),FRENCH POLYNESIA,GABON,GAMBIA,GEORGIA,GERMANY,GHANA,GREECE,GREENLAND,GRENADA,GUATEMALA,GUINEA,GUINEA BISSAU,GUYANA,HAITI,HONDURAS,HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,HUNGARY,ICELAND,INDIA,INDONESIA,IRAQ,IRELAND,ISLAMIC REPUBLIC OF IRAN,ISRAEL,ITALY (INCLUDING SAN MARINO),JAMAICA,JAPAN,JORDAN,KAZAKHSTAN,KENYA,KIRIBATI,KOSOVO,KUWAIT,KYRGYZSTAN,LAO PEOPLE S DEMOCRATIC REPUBLIC,LATVIA,LEBANON,LESOTHO,LIBERIA,LIBYAN ARAB JAMAHIRIYAH,LIECHTENSTEIN,LITHUANIA,LUXEMBOURG,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,MACEDONIA,MADAGASCAR,MALAWI,MALAYSIA,MALDIVES,MALI,MALTA,MARSHALL ISLANDS,MAURITANIA,MAURITIUS,MEXICO,MONGOLIA,MONTENEGRO,MONTSERRAT,MOROCCO,MOZAMBIQUE,MYANMAR (FORMERLY BURMA),NAMIBIA,NAURU,NEPAL,NETHERLANDS,NEW CALEDONIA,NEW ZEALAND,NICARAGUA,NIGER,NIGERIA,NIUE,NORWAY,OCCUPIED PALESTINIAN TERRITORY,OMAN,PAKISTAN,PALAU,PANAMA,PAPUA NEW GUINEA,PARAGUAY,PERU,PHILIPPINES,PLURINATIONAL STATE OF BOLIVIA,POLAND,PORTUGAL,QATAR,REPUBLIC OF CAMEROON,REPUBLIC OF KOREA,REPUBLIC OF MOLDOVA,REPUBLIC OF SOUTH SUDAN,REPUBLIC OF SUDAN,ROMANIA,RUSSIAN FEDERATION,RWANDA,SAINT HELENA,SAINT LUCIA,SAINT MARTIN (DUTCH PORTION),SAMOA,SAO TOME & PRINCIPE,SAUDI ARABIA,SENEGAL,SERBIA,SEYCHELLES,SIERRA LEONE,SINGAPORE,SLOVAKIA,SLOVENIA,SOLOMON ISLANDS,SOMALIA,SOUTH AFRICA,SPAIN,SRI LANKA,ST  KITTS-NEVIS,ST  PIERRE & MIQUELON,ST  VINCENT & THE GRENADINES,SURINAME,ESWATINI,SWEDEN,SWITZERLAND,SYRIAN ARAB REPUBLIC,TAIWAN,TAJIKISTAN,THAILAND,TIMOR-LESTE (FORMERLY EAST TIMOR),TOGO,TONGA,TRINIDAD AND TOBAGO,TUNISIA,TÜRKIYE,TURKMENISTAN,TURKS AND CAICOS ISLANDS,TUVALU,UGANDA,UKRAINE,UNITED ARAB EMIRATES,UNITED KINGDOM,UNITED REPUBLIC OF TANZANIA,UNITED STATES OF AMERICA,URUGUAY,UZBEKISTAN,VANUATU,VENEZUELA,VIET NAM,WALLIS AND FUTUNA ISLANDS,YEMEN,ZAMBIA,ZIMBABWE,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU27,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World,AFGHANISTAN
,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bonaire Saint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Micronesia (Federated States of),Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,North Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,State of Palestine,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,South Sudan,Sudan,Romania,Russia,Rwanda,Saint Helena,Saint Lucia,Sint Maarten (Dutch part),Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Saint Kitts and Nevis,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Suriname,Eswatini,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Türkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Yemen,Zambia,Zimbabwe,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU27,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World,Afghanistan
1990,1.5164467729,,,,,,30.822833468,1.6413410969,,66.409429174,24.400699294,7.6464562829,,2.9947527164,4.9907986478,,16.849845529,42.293443265,,0.25425703449,,,,,0.737,66.988814362,,1.0859272768,16.737323472,0.22006368553,,0.50608641519,131.89944297,,,,8.7586187084,633.28212943,16.928619086,,,,1.4091188227,1.6261450127,5.7314770511,,,1.8536695719,41.308579699,,,16.928920781,,,2.5587638821,4.4184950912,21.944558056,1.1208870758,,,8.5593993584,1.0737758364,,,,22.024232926,134.57420833,,,,2.7010272766,326.12605752,1.2526533997,26.331859691,,,1.8549073372,0.274,,,,0.90866913844,23.49542395,25.055468209,,157.0507781,40.036746385,,10.793367267,55.14426219,13.485942703,154.80562963,2.0371230172,359.56606832,4.4181642124,76.338562887,2.2321522082,,,10.661330313,5.4020749913,0.21937918682,5.8854164629,,,,,,11.796143033,3.2247552443,,,0.382558695,0.41905622802,18.028522011,,,0.92672929226,,,0.73399244518,87.723514321,2.4329046362,,,8.3326478563,1.0968001191,,0,,0.31508554889,55.157621967,,7.3397224666,0.73370376445,,10.336864883,,,,3.4270974343,19.749577004,,0.80762587899,,1.0299691325,6.5199718861,17.132057937,2.3586623597,88.034085418,14.174197743,2.9161486446,0.83383306774,87.498446734,,,,44.560527066,557.42642721,0.1429758882,,,,,,52.610161732,0.92878651675,,,,19.530823716,19.954605484,4.4956343414,,,59.822188669,72.301788955,1.7311683729,,,,,,23.368454722,23.44030898,,47.813650654,1.4121126952,32.423859709,,0.35100128739,,3.2136831234,4.3071517809,58.781460175,,,,0.41845062813,137.19482653,15.234280225,182.75276982,0.99516276857,1377.7374592,1.3363609866,,,25.742198871,6.3113475611,,,0.74691527645,4.9125199251,4054.9719117,2004.9695997,3531.8877535,2528.0537579,1201.4042958,159.04038323,1627.9084072,25.989277523,2164.9579431,242.77908664,1597.8829269,75.514926025,165.86379404,149.79587342,6.536993169e-13,6209.7981097,
1991,1.2592261216,,,,,,33.075611577,1.2468941418,,66.576786258,24.860003886,5.8306851392,,3.1599451789,5.2863346787,,18.277554609,42.491628767,,0.26981374269,,,,,0.719,68.76006516,,1.3267148643,12.200167414,0.23406443486,,0.52606652794,131.67442256,,,,8.4385607261,654.98881689,16.519213677,,,,1.430055711,1.5231317012,4.2710567109,,,1.8820832294,35.640009956,,,17.947008801,,,2.7143724306,4.2821087048,20.829420126,1.2805279657,,,8.2614633659,1.0875002271,,,,20.347750003,137.64391808,,,,3.0976633733,312.31482809,1.3621160973,26.040283423,,,1.8573395681,0.28,,,,0.92868412556,25.105040955,22.833392794,,162.8781996,43.759586633,,11.264730321,58.160433652,13.639307021,153.19194357,2.0307273351,364.63650969,3.9554058346,56.606987866,1.9988673788,,,6.1696695953,4.7685426565,0.23590466139,5.4190204002,,,,,,12.517558337,3.3938115083,,,0.39946387651,0.42205597728,19.89404368,,,0.88703150763,,,0.76803277735,92.446061311,2.3880336228,,,8.4199927561,1.0167728954,,0.288,,0.41600659678,57.269571094,,7.3757866129,0.7235874078,,10.885438909,,,,3.6587106994,19.266326756,,0.83885684298,,1.0431082705,6.4639218638,17.190266367,2.4980313264,91.990884275,14.79849456,4.3076120293,0.84758496722,93.347866498,,,,35.474876834,567.19660862,0.12885795492,,,,,,71.361375792,0.99400383338,,,,20.266230394,15.641885943,4.2577677088,,,65.780994607,73.861593678,1.9078318606,,,,,,23.119516595,24.067840793,,47.800586581,1.2177749335,32.969279018,,0.37793855528,,3.3956805255,4.6248733347,58.305933745,,,,0.42525474654,124.78614674,16.700873218,184.70639104,1.0472340009,1354.0587083,1.4815327568,,,26.694029465,6.2679642823,,,0.80126120026,4.7630607468,4004.0096376,2057.0262595,3508.3219318,2552.7139652,1169.8222808,165.7613482,1650.1533475,26.475675852,2126.6218149,267.23185528,1578.7366033,75.776006395,170.27344404,148.3868104,130.438,6339.9222511,
1992,0.79580337223,,,,,,35.030746343,0.98787670922,,67.286113773,25.416939134,3.6200336234,,3.0534795713,5.6490268933,,12.374662117,47.055979581,,0.28337202714,,,,,0.758,69.28694842,,1.4075113629,11.513520843,0.23667010781,,0.5522587642,135.25100657,,,,9.0855189705,703.05495105,18.394971084,,,,1.5669454521,1.5881715373,4.9653961051,,,2.2717679932,40.462260338,,,18.939965372,,,2.9691858099,5.4205631905,23.250037175,1.3675275785,,,6.5549559897,1.1103468822,,,,28.29168613,149.00049266,,,,2.5699768382,329.54081846,1.2009704069,28.559057836,,,2.2099836486,0.289,,,,1.0443532499,27.29819777,25.994627773,,176.4631519,50.385127647,,11.733920391,59.766459738,15.805193805,166.9644386,1.9428074442,388.37619367,4.6653402035,35.030685567,2.3027154347,,,9.1895282675,4.8942091938,0.25134960698,5.0209578402,,,,,,14.326057239,3.330369643,,,0.40023188272,0.41676714366,22.248207665,,,0.94754664788,,,0.85032896316,94.523080579,2.5056915161,,,9.7924855858,0.97305203683,,0.314,,0.47200210414,64.974292268,,7.7342588772,0.86753838659,,11.982415711,,,,3.7471390972,21.17023919,,0.98117775221,,1.1880153855,6.5777304074,20.947562208,2.6864485447,94.844467172,16.391757657,6.266072631,0.89693593434,107.8615394,,,,32.842427212,211.93750256,0.13086405264,,,,,,78.042833702,1.0233647808,,,,23.010518415,15.29694279,5.3881550945,,,62.287043684,79.801400729,2.172730701,,,,,,25.567873797,26.09692913,,59.939854272,1.3658626691,42.364817883,,0.38555258992,,3.8239049279,5.8204358311,68.093257122,,,,0.43965979958,120.32006594,17.366491523,189.04684011,1.0237466111,1405.0834689,1.6718853498,,,25.964734098,6.2802413111,,,0.81618002882,4.818138476,3818.5809415,2189.238854,3713.0236036,2294.7961919,1255.9980753,169.35345327,1767.6671177,27.054598594,1855.8959843,299.18003227,1635.4055599,76.939595505,176.31760011,151.35104707,7.6738615462e-13,6159.1700238,
1993,0.72948382613,,,,,,33.774686389,0.49334872654,,67.536204442,24.314785738,6.5551964601,,4.2593503549,5.7322409044,,10.434453241,44.421495003,,0.31624815467,,,,,0.872,71.639807279,,1.4680778099,12.406800551,0.2349203589,,0.54134340302,131.73658351,,,,9.7093567109,752.4868837,18.88027178,,,,1.5740689689,1.7930132851,4.9682476187,,,2.0665869787,36.134249362,,,18.301935235,,,3.131983805,6.1676400948,25.072219639,1.4845508163,,,4.8961162353,1.1117752612,,,,23.236229559,137.69298913,,,,2.2028524846,316.70920207,1.3502179063,27.136890051,,,2.0716626031,0.297,,,,1.043693154,26.185705518,23.820161366,,177.93038353,52.991452835,,11.06601044,58.075416816,15.857523656,152.55319669,2.1303401737,380.51882998,4.482159701,44.968134914,2.3868948561,,,13.132313383,3.6209869244,0.2584549648,3.9938395067,,,,,,8.8462037794,3.3711538638,,,0.41943312954,0.46155415333,23.811135513,,,1.018748241,,,0.86938593531,96.191213059,1.6533017637,,,9.5911810648,1.068060223,,0.379,,0.52191300834,59.875642012,,7.7390884998,0.82544852949,,11.958028967,,,,4.1963878594,22.479592413,,0.94765433889,,1.2306147737,7.2493716061,19.754677569,2.8244426186,92.009499144,15.955982324,7.296452288,0.94316215644,110.19523214,,,,30.554074157,303.89773787,0.13180813486,,,,,,85.290387771,1.0537462202,,,,23.164171764,14.093686049,4.9991573237,,,65.286629345,74.237814158,2.1797981174,,,,,,23.771575769,23.808786945,,56.950539534,0.88086985127,42.003792874,,0.39893190725,,3.5134508399,5.3480054554,63.123602326,,,,0.48678839551,101.89868776,18.900832987,179.40286485,1.0967249938,1421.2561688,1.5355570655,,,29.722131428,6.8146144685,,,0.86473257618,4.5824850616,3800.883797,2269.0555508,3629.3951337,2440.5442141,1172.4522723,175.63274678,1820.8985765,26.838815572,1827.0083296,309.0758901,1649.7249885,77.229538126,183.52456145,152.31974063,1.1652900866e-12,6222.257178,
1994,0.64751152162,,,,,,33.885855012,0.4868469331,,69.872932482,24.258088366,5.1662874283,,3.885239587,6.3355369034,,8.2652107235,44.397635674,,0.36559978485,,,,,0.827,75.290168846,,1.4380823898,11.351747839,0.24358967216,,0.57875267166,133.16386977,,,,10.434996747,750.57004467,19.843707806,,,,1.8771944786,1.4874411078,4.8687405081,,,2.0669059759,34.238084525,,,18.780611699,,,3.3092904467,4.1199478255,24.680698797,1.6525390518,,,4.5391955331,0.91778201007,,,,21.37886322,134.37629255,,,,1.342549099,309.76540042,1.5569540265,27.112112944,,,2.3562303335,0.307,,,,1.0973851366,33.194444436,21.757244911,,186.51649249,54.492124217,,11.235253357,63.674792527,16.655099085,148.14788778,2.0758655889,400.62334983,4.9047399145,38.802944982,2.4795930893,,,14.788494377,2.9246121967,0.28483608056,3.7525766395,,,,,,7.8312012967,3.1503413949,,,0.45219865798,0.46900075005,23.852848038,,,1.003888682,,,0.86693507397,99.522728396,1.5927990751,,,9.7604836893,1.0758108825,,0.429,,0.58171198915,58.888357148,,7.9437142895,0.88192105341,,21.403275169,,,,5.1987622323,24.297231506,,0.99035424395,,1.3902313398,7.4066052255,20.569988235,2.3370793031,88.444444726,16.20619192,7.7286114966,1.4042793365,116.1569058,,,,28.479544117,321.08081842,0.12612536951,,,,,,83.641007032,1.0977241502,,,,25.024114004,12.240803417,4.7561707508,,,70.173279762,75.222619163,2.3792510562,,,,,,23.562361139,23.630902757,,57.302640715,0.44519340094,43.739512812,,0.40740288034,,3.0504732012,4.7731549375,57.385379448,,,,0.47046763469,74.84524309,21.687683798,177.3361335,1.0334644397,1449.9331998,1.4675144344,,,27.726957206,7.9704134808,,,0.87540242323,4.7445812358,3810.731019,2316.3174841,3658.6762566,2468.3722466,1141.8125657,195.50253631,1860.2831377,27.672716909,1778.0521079,317.73715035,1683.1779651,79.804635658,184.81228552,159.73699878,4.5474735089e-13,6286.7835915,
1995,0.69494443406,,,,,,35.031390947,0.7323058781,,71.409688853,25.384718085,6.332931953,,3.9199477133,7.1990116319,,9.528513237,45.472858954,,0.39001191162,,,,,0.831,81.532635942,,1.438332818,12.707477671,0.2476018859,,0.56342323604,135.3788752,,,,11.307075729,817.12706617,18.261092009,,,,1.8397862962,2.0193560711,5.3758868001,,,2.1320365696,33.73569082,,,18.600498605,,,4.0747962092,6.1094503182,27.2734531,1.8099628764,,,4.2777711919,1.0102353133,,,,20.543806169,137.02815722,,,,0.62151950989,311.14033955,1.6025075062,27.452893924,,,2.5046865781,0.318,,,,1.2176674666,34.674274375,20.835885532,,196.28519146,55.816640562,,11.509825606,67.503818876,17.610441418,153.74060472,2.3757024329,409.22134956,5.0368145585,35.382200533,2.8219745173,,,14.470271948,2.9476819304,0.31350185932,3.4646354055,,,,,,7.6398361856,2.4988887979,,,0.46347175302,0.48515156632,27.015137697,,,1.0171137842,,,0.93917227488,88.076953627,1.6230751409,,,9.9806423571,1.1527459397,,0.442,,0.76131679451,59.828259414,,8.2778291847,0.9374130577,,20.963459383,,,,5.4560105127,24.222886222,,0.97615478558,,1.5268478731,7.7738003883,22.056705446,2.2015063278,87.711666487,17.348537669,8.0139397747,1.5325706645,123.26117048,,,,28.796453939,318.9438611,0.12411604988,,,,,,68.041180625,1.0255909105,,,,24.568741954,12.702159616,5.1395871501,,,73.918950642,78.496915678,2.5387092081,,,,,,23.313476005,24.700141568,,58.952221396,0.22160146919,46.890173515,,0.46473192228,,2.7730623614,4.8827344048,61.087230904,,,,0.53629069759,59.845757238,21.613506556,175.85494108,1.1262477091,1466.2800075,1.6410045767,,,29.981277055,8.7362566901,,,0.86819648081,4.3531053592,3838.548082,2413.1356648,3703.1170458,2548.566701,1157.8959815,205.16725648,1957.010889,29.741256882,1779.2117729,312.12607258,1690.3300299,81.741498076,196.35182526,168.75864475,-4.5474735089e-13,6420.4399352,
1996,0.82589502013,,,,,,36.658211466,0.76110198897,,73.149758623,27.569266142,7.7251448332,,4.0372854608,7.4263105709,,13.13096958,45.187567237,,0.46421207092,,,,,0.752,87.878041275,,1.6317693196,13.336247692,0.25651956289,,0.63947616922,137.99388063,,,,13.194218187,852.97840108,18.141000433,,,,1.8008444103,1.9726247404,5.4020599998,,,2.4668207774,33.411834412,,,19.9342708,,,4.4595932751,6.3312333203,27.698126941,1.6682241706,,,4.5730282792,1.0820854557,,,,20.407771202,137.71771921,,,,2.1257350026,306.74198745,1.924828148,27.007119204,,,2.4061618353,0.337,,,,1.3042444053,33.527404575,19.232960073,,209.69596462,62.553516608,,13.649599084,71.588765663,18.182772444,144.95770154,1.9893736389,407.41495514,4.0992489551,31.3271115,2.5872653463,,,12.250820859,2.4012743833,0.32927878239,3.8911373478,,,,,,6.2053788832,2.5129395612,,,0.38934820212,0.55436587731,27.518513609,,,1.0525420455,,,1.0866177518,92.459548279,2.0427041334,,,9.1619366207,0.78173503302,,0.47,,0.76916695077,59.193315912,,8.7472003047,0.93548810224,,24.229498788,,,,5.247005267,27.030759639,,1.143502239,,1.4367885512,7.614650182,21.876304698,2.4392255771,89.835932013,16.587969883,8.3252259109,1.6679747653,133.9599176,,,,27.723404763,342.20025087,0.12664826706,,,,,,67.114595391,1.268064195,,,,27.778391325,13.17189023,4.9849193895,,,72.180020767,74.275445225,2.7798558303,,,,,,24.798468852,29.535435123,,54.724081569,1.1308427669,49.850124516,,0.45965975946,,3.5442850221,4.6950097879,57.49555484,,,,0.46936102214,78.630665017,22.227826517,183.63968755,1.0527361353,1512.1158703,1.9943704471,,,26.257654468,10.402906458,,,0.85447838903,4.5141505434,3929.6667179,2506.0665596,3767.5695847,2668.1636929,1145.8292972,205.17856736,2031.094166,32.387159171,1829.0949774,307.61462155,1743.2211759,84.235876567,202.90473985,182.76341284,-9.6633812063e-13,6618.4942341,
1997,0.60588021855,,,,,,39.194908353,1.1130451033,,75.230882847,25.959649053,6.9928312885,,3.8763390213,7.9466331144,,12.358742466,46.564868153,,0.51940149673,,,,,0.764,93.487327197,,1.2097863715,12.71633986,0.29564247167,,0.62326865179,146.75119382,,,,15.021811548,834.75964989,19.733947869,,,,1.9349887255,1.8742705375,5.717524713,,,2.2403158266,32.407213917,,,18.399250688,,,4.821961046,5.4138949879,30.858920872,1.976046232,,,4.3548870002,1.2018400826,,,,20.059843577,133.74388499,,,,1.895624488,294.28447495,2.3593294246,27.332344408,,,2.7846099244,0.352,,,,1.4711841404,37.508547737,19.082325971,,219.45119222,67.386405968,,13.408039474,72.672334544,18.880667448,146.20613406,2.168409347,400.75019817,4.8049563614,29.336089548,2.5594733476,,,13.433603931,1.4536308121,0.32570699857,3.7270763927,,,,,,5.9190412164,2.3373071846,,,0.48838481653,0.5433179261,30.748806343,,,0.99017082096,,,1.0809860194,102.35088833,1.6582188003,,,8.8096546392,0.51319375106,,0.483,,0.83582693531,57.67819106,,9.2343666721,1.0326978345,,24.540477055,,,,5.2595729553,26.692940451,,1.1783953119,,1.5921640687,8.5152603219,24.181168367,2.9858614389,87.934769164,19.32053224,9.5340517937,1.6533717351,135.8859801,,,,24.649282537,321.51004036,0.1316942048,,,,,,57.172151275,1.1660573561,,,,30.582451676,12.894452771,5.1353150898,,,76.036484627,75.790999974,2.8139879497,,,,,,23.525478821,26.289845607,,59.912434841,0.84626380397,47.382469415,,0.37408637377,,3.7790383139,4.6957100424,61.339346233,,,,0.50355789798,75.572944373,21.950050152,183.44192902,1.1626501105,1540.9406011,2.1839457281,,,31.671009085,12.445141391,,,1.1119410942,4.0844798268,3912.8429885,2553.2378556,3796.5094327,2669.5714114,1122.3797139,210.70745855,2038.7189423,33.877492603,1778.7078179,305.73708559,1790.6388032,86.839609264,220.85168317,192.20641352,1.9895196601e-12,6658.2834366,
