Column 0,ALBANIA,ALGERIA,ANDORRA,ANGOLA,ANGUILLA,ANTIGUA & BARBUDA,ARGENTINA,ARMENIA,ARUBA,AUSTRALIA,AUSTRIA,AZERBAIJAN,BAHAMAS,BAHRAIN,BANGLADESH,BARBADOS,BELARUS,BELGIUM,BELIZE,BENIN,BERMUDA,BHUTAN,BONAIRE SAINT EUSTATIUS AND SABA,BOSNIA & HERZEGOVINA,BOTSWANA,BRAZIL,BRITISH VIRGIN ISLANDS,BRUNEI (DARUSSALAM),BULGARIA,BURKINA FASO,BURUNDI,CAMBODIA,CANADA,CAPE VERDE,CENTRAL AFRICAN REPUBLIC,CHAD,CHILE,CHINA (MAINLAND),COLOMBIA,COMOROS,CONGO,COOK ISLANDS,COSTA RICA,COTE D IVOIRE,CROATIA,CUBA,CURACAO,CYPRUS,CZECHIA,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),DENMARK,DJIBOUTI,DOMINICA,DOMINICAN REPUBLIC,ECUADOR,EGYPT,EL SALVADOR,EQUATORIAL GUINEA,ERITREA,ESTONIA,ETHIOPIA,FAEROE ISLANDS,FEDERATED STATES OF MICRONESIA,FIJI,FINLAND,FRANCE (INCLUDING MONACO),FRENCH POLYNESIA,GABON,GAMBIA,GEORGIA,GERMANY,GHANA,GREECE,GREENLAND,GRENADA,GUATEMALA,GUINEA,GUINEA BISSAU,GUYANA,HAITI,HONDURAS,HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,HUNGARY,ICELAND,INDIA,INDONESIA,IRAQ,IRELAND,ISLAMIC REPUBLIC OF IRAN,ISRAEL,ITALY (INCLUDING SAN MARINO),JAMAICA,JAPAN,JORDAN,KAZAKHSTAN,KENYA,KIRIBATI,KOSOVO,KUWAIT,KYRGYZSTAN,LAO PEOPLE S DEMOCRATIC REPUBLIC,LATVIA,LEBANON,LESOTHO,LIBERIA,LIBYAN ARAB JAMAHIRIYAH,LIECHTENSTEIN,LITHUANIA,LUXEMBOURG,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,MACEDONIA,MADAGASCAR,MALAWI,MALAYSIA,MALDIVES,MALI,MALTA,MARSHALL ISLANDS,MAURITANIA,MAURITIUS,MEXICO,MONGOLIA,MONTENEGRO,MONTSERRAT,MOROCCO,MOZAMBIQUE,MYANMAR (FORMERLY BURMA),NAMIBIA,NAURU,NEPAL,NETHERLANDS,NEW CALEDONIA,NEW ZEALAND,NICARAGUA,NIGER,NIGERIA,NIUE,NORWAY,OCCUPIED PALESTINIAN TERRITORY,OMAN,PAKISTAN,PALAU,PANAMA,PAPUA NEW GUINEA,PARAGUAY,PERU,PHILIPPINES,PLURINATIONAL STATE OF BOLIVIA,POLAND,PORTUGAL,QATAR,REPUBLIC OF CAMEROON,REPUBLIC OF KOREA,REPUBLIC OF MOLDOVA,REPUBLIC OF SOUTH SUDAN,REPUBLIC OF SUDAN,ROMANIA,RUSSIAN FEDERATION,RWANDA,SAINT HELENA,SAINT LUCIA,SAINT MARTIN (DUTCH PORTION),SAMOA,SAO TOME & PRINCIPE,SAUDI ARABIA,SENEGAL,SERBIA,SEYCHELLES,SIERRA LEONE,SINGAPORE,SLOVAKIA,SLOVENIA,SOLOMON ISLANDS,SOMALIA,SOUTH AFRICA,SPAIN,SRI LANKA,ST  KITTS-NEVIS,ST  PIERRE & MIQUELON,ST  VINCENT & THE GRENADINES,SURINAME,ESWATINI,SWEDEN,SWITZERLAND,SYRIAN ARAB REPUBLIC,TAIWAN,TAJIKISTAN,THAILAND,TIMOR-LESTE (FORMERLY EAST TIMOR),TOGO,TONGA,TRINIDAD AND TOBAGO,TUNISIA,TÜRKIYE,TURKMENISTAN,TURKS AND CAICOS ISLANDS,TUVALU,UGANDA,UKRAINE,UNITED ARAB EMIRATES,UNITED KINGDOM,UNITED REPUBLIC OF TANZANIA,UNITED STATES OF AMERICA,URUGUAY,UZBEKISTAN,VANUATU,VENEZUELA,VIET NAM,WALLIS AND FUTUNA ISLANDS,YEMEN,ZAMBIA,ZIMBABWE,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU27,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World,AFGHANISTAN
1998,0.69214568542,,,,,,40.242653049,1.1006274251,,80.670275971,26.8732144,8.2422099951,,4.3884555572,7.9515286442,,19.497451477,49.309009371,,0.54643317135,,,,,0.912,95.364396895,,1.4836178214,12.52789972,0.47841791726,,0.77686450418,147.76678161,,,,15.302278827,807.7990572,19.808983068,,,,2.2187067285,2.3763278637,5.5881992119,,,2.7062001137,31.217475139,,,17.917725858,,,5.341708742,6.760744469,35.400182309,2.2284629109,,,4.6529230782,1.4100518894,,,,19.521330851,139.16401536,,,,2.05295572,294.8947925,2.251601082,29.312372222,,,3.3059251182,0.372,,,,1.7119002782,31.613473847,19.432224377,,223.7174033,41.963530406,,13.390612772,83.479812469,19.299177064,148.85203623,2.7191588852,374.86233799,4.9421825406,30.928016441,3.5504680307,,,14.836343212,2.9539804218,0.34182056802,3.6688044784,,,,,,6.0635468649,2.0915003714,,,0.60391148165,0.5291867093,21.64777257,,,1.2999055969,,,1.0207412643,108.87204987,1.7463054491,,,9.5432516434,0.75738219042,,0.496,,1.1211791323,59.078730217,,8.6000710543,1.148418313,,23.524918119,,,,5.5173376253,26.489978363,,1.4735948815,,1.5604610467,8.757607055,21.891697629,2.9726167219,80.987316501,22.090871433,8.6260010548,1.6616661185,98.46090165,,,,24.071115331,288.07304684,0.13141973686,,,,,,60.697606102,1.1829162205,,,,26.308790804,13.235447801,5.1895240408,,,73.529175691,79.634364711,3.0251653663,,,,,,23.95667738,31.902709055,,59.425523506,1.036763402,35.504648224,,0.52004723929,,4.1769443293,4.6683709429,61.924851295,,,,0.69118590245,66.645913598,25.307740197,189.95540391,1.1456942505,1586.1445014,2.3202986553,,,43.273337619,12.901872449,,,1.0508334767,3.6999108074,3922.6178295,2514.0053375,3819.8385621,2616.7846048,1136.7278359,223.5812478,1903.2145744,35.886806323,1772.7031789,328.46712067,1843.4562651,91.757840872,237.55137707,203.92149989,-4.8316906032e-13,6640.5419376,
1999,1.0323417856,,,,,,40.745332435,1.4115280468,,80.954027127,26.433753488,7.333622523,,2.6203969324,8.2548039214,,18.53385401,51.275251572,,0.54680141386,,,,,0.862,90.914152875,,1.2043557883,11.339860081,0.6072235133,,0.74409370995,147.91632103,,,,16.337756382,865.83188843,15.338818376,,,,2.6270225499,1.7502267371,5.9993601973,,,2.2908634322,30.11279298,,,18.950879592,,,5.5292186606,5.9120275111,36.595400854,2.159501044,,,5.3995883897,1.3769961858,,,,20.245418582,140.06249495,,,,1.6658219244,297.39257909,2.6147081347,28.241072082,,,3.3023781837,0.391,,,,1.8406497606,28.941451327,19.664257349,,247.43996342,67.50103482,,15.09253998,88.026203984,17.244197598,153.18318906,2.6411957135,399.90339182,4.7175492248,26.667644375,3.0596190414,,,12.05371336,1.5883268543,0.33413199069,3.3648093288,,,,,,5.4220158029,2.3615777604,,,0.69127928693,0.51639277128,25.526814831,,,1.1454584797,,,1.0424641593,111.31498874,1.806591823,,,10.426017272,1.0766367733,,0.454,,1.7049633962,40.118291474,,9.3273497247,1.227635683,,17.261559657,,,,5.2346620248,29.215565474,,1.5854693095,,1.5980380937,9.1090611893,23.447711989,3.1137564358,84.359435365,26.732480045,4.948663014,1.4040822846,119.04951119,,,,21.687307638,275.98699763,0.13717744495,,,,,,51.618437234,1.226948681,,,,28.222558613,12.361338218,4.9473543125,,,80.007832294,86.123367054,3.8392142905,,,,,,22.435486175,29.044842242,,61.743458123,0.91862680844,40.469279584,,0.51523488231,,3.7738423022,5.2428371881,63.017875927,,,,0.72524758251,64.910211533,21.767751135,186.1799441,1.1989365227,1634.8653531,2.7420052965,,,26.985760467,11.951058091,,,0.88851068746,3.8267211863,3974.292875,2592.1271086,3912.5466427,2653.873341,1136.7428225,214.34194474,2069.0609021,38.345303045,1742.4232222,299.63206394,1896.0448685,92.534519706,214.03182984,211.28215292,-2.4726887204e-12,6777.700499,
2000,1.1122366686,,,,,,38.616836435,1.1627683343,,79.39440258,25.129292315,6.4989204819,,3.0072998488,6.9822017972,,11.487439008,51.971360904,,0.65319399168,,,,,0.89592904902,95.598585459,,0.96058815233,11.575846593,0.37754569834,,1.3286635975,158.54634223,,,,16.280385008,890.42756153,14.882070549,,,,2.1814837188,1.9082217509,5.9098545964,,,2.1025467711,32.886575199,,,17.910325856,,,3.3403473479,5.4101789193,37.467440222,2.2666491309,,,5.5457926912,1.039296994,,,,21.580197404,141.71147299,,,,1.6720225834,295.75659354,2.1708126018,28.532708024,,,6.2782247321,0.35888512642,,,,1.0792892754,23.032802337,19.991179536,,247.86348963,65.488725224,,14.847167617,78.678711616,18.531076583,156.59372585,1.8043798671,422.69098118,4.8307753952,28.123416899,3.2626775508,,,9.0606781272,1.6877585478,0.67225282163,4.0107193995,,,,,,5.5125941025,2.2856734786,,,0.74013389055,0.22180136191,30.812259782,,,1.2573884832,,,1.2607338536,120.01053897,1.9242068725,,,10.488563482,1.1867019614,,0.42798937067,,0.73541242169,35.504166486,,8.7539887175,1.2084790646,,13.496422853,,,,5.6608388039,29.684308912,,1.314580746,,1.4831530023,8.5782024541,24.829792021,2.371420396,81.879096831,30.271894739,4.7036809585,1.6880725139,132.42960814,,,,24.581782853,271.89839192,0.1882827334,,,,,,56.227039058,1.3619255468,,,,34.658867753,12.622625107,5.2088691699,,,78.130149354,91.499803809,5.0752431927,,,,,,23.432870767,24.410013008,,76.668244269,1.4838765359,41.365420828,,0.24965359498,,2.7805090892,3.8648671855,69.63468931,,,,0.77640177719,60.56987628,25.252101238,203.086273,1.3485790177,1706.8613039,2.1845314124,,,19.909723642,10.05490795,,,1.0200788383,3.270421109,4092.4883334,2653.3382737,4065.3155656,2680.5110415,1150.1121251,199.9594416,2149.4428263,52.994842369,1752.6097576,306.18382034,1988.1973685,90.082440453,206.34366155,214.13375722,-1.6200374375e-12,6959.9584539,
2001,1.2241529139,,,,,,35.475450724,1.2183855978,,81.770364428,26.362330842,6.8752471615,,2.6732293534,8.033075453,,10.72347273,51.678271316,,0.84215068397,,,,,0.86998020717,93.636848169,,0.94451617866,12.389411857,0.41432847074,,1.5319163582,152.73115958,,,,14.628379584,916.52678292,15.114677007,,,,2.2139485081,1.7859337888,6.68473223,,,2.1478459988,33.300234673,,,18.109565375,,,9.3196122586,6.7092832919,33.050760768,2.2728836526,,,5.1706984653,1.2089801042,,,,22.174720592,141.59157925,,,,1.5724881324,294.80962788,2.3447097662,29.041191026,,,2.3951928038,0.34594502968,,,,1.1431893261,21.173712278,20.959885145,,249.54144595,72.669788115,,15.464362218,84.946682355,18.966937622,153.47241504,1.9573904956,412.65404031,5.3632743565,31.776221843,3.3060097512,,,10.756748164,1.2879317657,0.70140971764,3.7434741901,,,,,,5.4899497758,2.3490550183,,,0.71432446868,0.19713188608,32.340678471,,,1.3151336131,,,1.2047286976,122.48061738,2.0446144169,,,11.303011427,1.3220830665,,0.54660376862,,1.0859882775,34.759508599,,9.1681134216,1.2525051903,,19.381536392,,,,5.9065844896,30.148122031,,1.4135886685,,1.4931296628,7.8847860793,24.773325752,2.4207112635,80.62891141,30.944236405,5.6679854112,1.878149323,132.42708863,,,,26.285253301,303.61867962,0.13475558107,,,,,,60.001128315,1.4047945756,,,,30.096371986,13.199587721,5.4943193627,,,74.416038483,91.632120486,5.2355148528,,,,,,21.840560739,29.275715886,,69.698326773,1.4752642648,43.059028556,,0.21055057393,,3.3320779295,3.9111157151,56.013783843,,,,0.77549502102,70.148553279,26.411964408,198.29273363,1.4895418959,1685.8323049,2.0544906618,,,22.6009659,11.41486386,,,1.0884876832,3.107528058,4101.5089874,2693.2148219,4017.6657402,2777.0580691,1151.0389825,204.05661483,2174.1010698,49.381902352,1794.6229027,312.85014306,1963.42646,93.119911947,203.15101824,212.62753981,-3.0979663279e-12,7007.3499845,
2002,1.3927725857,,,,,,22.352406023,1.2103541523,,86.84060845,25.968276868,8.210020902,,2.9678074259,8.3991982484,,10.716482424,52.938812086,,0.89414594793,,,,,1.1855531131,90.50443181,,0.93831655031,11.798790367,0.4067991985,,1.940264681,159.07647011,,,,15.374595723,996.2112878,15.190019959,,,,2.8768871261,1.4362777344,7.1521699554,,,2.2813243973,34.089234822,,,18.140013495,,,7.8670742203,7.3132417892,33.220885384,2.2605198582,,,5.4097347482,1.0525214829,,,,22.260698894,139.51502041,,,,1.4646409066,280.29561054,2.2526098432,29.872145034,,,2.5419929457,0.35542056578,,,,1.1825065097,20.661733768,20.502169195,,253.50628007,75.186158579,,15.829792496,81.834522527,18.360678258,157.16186133,1.9569761599,409.84883922,5.6074469162,33.971771514,2.7586555673,,,12.357595107,1.539817792,0.72834058205,3.7029840065,,,,,,5.2829697105,2.6797093559,,,0.54495325889,0.2282060088,33.898639368,,,1.3822227087,,,1.2263797686,123.59317016,2.1265390042,,,11.785896713,1.2844143048,,0.44001010793,,1.0014665858,35.957577488,,9.3663054287,1.2464874364,,19.447758768,,,,6.3531352132,33.098080596,,1.315430319,,1.4363576983,8.1783636995,24.590854609,2.945299412,77.739379342,31.117572708,6.4932324839,2.0759036224,143.17773524,,,,26.195698518,305.36493614,0.13250707848,,,,,,63.599446012,1.4256864546,,,,30.341767214,12.490444283,5.3261188797,,,69.327883494,97.941373874,5.7748958356,,,,,,22.365331728,26.63781699,,71.337610149,1.8727712794,47.400750442,,0.31190774682,,4.0605453409,4.0796275076,61.474911771,,,,0.80585880085,68.541515354,26.233256042,200.71501862,1.606110222,1717.6514852,1.7340228521,,,22.169401938,12.911851908,,,1.1068696458,3.3144159757,4136.3822457,2809.55101,4070.3242728,2875.608983,1145.3970373,201.7738079,2287.5642745,57.947801819,1790.1443887,317.79034242,2003.5461789,99.018630493,188.12598998,217.9042057,-1.1652900866e-12,7163.8344593,
2003,1.6119828609,,,,,,30.66405675,1.0820865742,,91.369875643,27.560563397,9.2608979015,,2.3071882178,9.3975203548,,11.082747972,56.411741212,,1.0170624161,,,,,0.70878460976,88.436585873,,1.4752535192,12.634537257,0.43426180446,,1.7477976518,157.57959614,,,,14.717088741,1112.9247877,15.771982641,,,,2.5200387864,1.7542539031,6.9094955266,,,2.3405241392,32.999423738,,,18.451825504,,,6.9669288783,7.8764495921,37.579949601,2.3039673786,,,5.6502075557,1.1115524725,,,,24.410200805,142.35640284,,,,1.5890062677,291.28421781,2.6153108844,26.559193514,,,2.4871440982,0.7483814455,,,,1.4500890447,22.700797003,22.238701024,,267.97350437,86.52704868,,19.679915297,98.564542043,20.87047629,161.48854185,1.9982271258,416.75890126,5.4434642074,33.992628106,2.5700938025,,,14.158657487,1.4278819778,0.54686568433,3.9840049789,,,,,,6.1761422043,3.1466067219,,,0.77353608883,0.26877400972,34.584856759,,,1.2173827707,,,1.2815620524,123.23334093,2.2623928649,,,10.833147478,1.4034350051,,0.4600243079,,0.69447808937,49.880036438,,10.286374343,1.3673010245,,22.677554119,,11.537826639,,9.3052192476,32.830262486,,-0.10360300378,,1.5550291247,7.7626834236,24.978904783,2.7810171521,77.704962808,30.593930087,6.3585222038,1.7573465049,148.04901907,,,,26.625277647,317.03468674,0.136317943,,,,,,82.845638225,1.6356978672,,,,28.084086409,11.986170741,5.1664502265,,,76.163033229,97.884903509,4.8158137545,,,,,,23.989848569,26.023440084,,73.010225473,1.4811129872,48.728942279,,0.33707661038,,4.5861030747,4.2706363516,67.591007349,,,,0.74773346262,64.703591429,34.237212696,204.29747169,1.6723415814,1770.936975,1.6858589922,,,28.989470441,16.444769081,,,1.0686834919,3.1271890518,4257.1715082,3062.0825388,4193.5647048,3125.6893422,1189.3312082,223.38404819,2450.0308523,50.555680404,1851.2498941,382.17902445,2056.7579586,103.955979,201.12694007,226.77816315,1.1368683772e-13,7546.0287403,
2004,1.4963092504,,,,,,36.331674824,1.1560653993,,94.017665369,28.579776067,10.991346464,,2.0803873953,10.060040611,,11.402824037,59.678007806,,0.95812970906,,,,,0.72441646291,91.809192932,,1.4589556336,12.487510993,0.46676402885,,2.1567399522,159.40633838,,,,15.595871596,1177.836575,15.571193298,,,,2.6151684345,2.0472691201,7.0723863705,,,2.5317254905,31.511541891,,,19.184220545,,,6.5249810499,8.4852135262,36.401667739,2.1818867548,,,5.6828952581,1.1244803995,,,,23.288486295,148.05004382,,,,2.0277736588,286.76955764,2.5796057751,25.627645693,,,2.5867507881,0.46193887279,,,,1.5289427325,22.490288476,21.746568299,,282.76521853,88.00826114,,18.190931628,105.34939252,20.750380728,166.16909618,1.8533025037,418.98669652,5.9992849302,35.607948242,2.741388213,,,14.494740226,1.8128814554,0.64360102678,3.8057662436,,,,,,5.8918212454,3.5815630499,,,0.77373089248,0.22867973304,36.735056521,,,1.1746520872,,,1.3849172421,128.32151716,2.3204534276,,,12.447930603,1.4063254865,,0.52224826638,,1.1754353926,52.003755566,,10.639521772,1.4108457168,,23.255842733,,12.270487257,,7.2542047936,38.593312396,,-0.081164500306,,1.6181429147,8.4549398444,25.71564095,2.705953235,79.345507368,30.239698051,6.2768964096,1.6828280387,150.86852247,,,,26.944727826,323.42347413,0.15085117534,,,,,,95.957777485,1.6995819566,,,,32.848012763,12.578596013,5.228593082,,,88.098780796,105.23493409,5.4641206163,,,,,,23.856789878,27.089759062,,83.776320077,1.4819665543,53.706642054,,0.31148752024,,4.4780779155,4.2688300698,76.316348999,,,,0.81027651135,61.784047135,36.154980885,207.41722533,1.8634747568,1806.1224393,2.0423421299,,,26.230317806,18.743889805,,,1.1324119726,2.6583923435,4324.8431972,3239.7877082,4275.2861043,3289.3448012,1206.4567985,235.60397263,2575.9595278,46.248352546,1878.0099113,416.53365367,2095.641533,106.86031289,209.73909957,246.56134515,-1.1084466678e-12,7811.1879393,
2005,1.5745663865,,,,,,38.323833316,1.5754828728,,93.884748523,29.140911055,9.5983492813,,2.1775762797,10.606373848,,11.73859262,61.745333225,,1.024748073,,,,,0.72291391633,95.526902427,,1.3887766701,13.242563444,0.46088185781,,2.6354477271,166.19728601,,,,16.596201559,1287.604678,17.347538329,,,,2.5983307807,2.0847549695,7.0660900217,,,2.6374178822,30.112363696,,,18.243056024,,,8.8686831415,8.9996223076,40.801498254,2.2528799288,,,5.2817372717,1.1112298236,,,,22.041000082,150.5612708,,,,2.3956245637,286.35779636,2.8010709438,25.550622318,,,2.7743677276,0.47692962469,,,,1.4618899831,24.047135082,21.376934047,,299.23188915,89.573123752,,19.817918528,108.59615205,20.096689607,168.84882143,1.902662929,421.1747305,6.6811215777,38.793226948,3.1728562381,,,17.923129753,2.0176162755,0.63048839371,3.6613795358,,,,,,5.8553617418,3.9349660613,,,0.7975243498,0.21458861731,37.486496707,,,0.89968839873,,,1.2159445562,133.82438244,2.3813030912,,,12.879376958,1.5186199389,,0.60967096046,,1.2573345805,59.016258433,,11.39214869,1.4063395164,,25.704885621,,12.046076782,,7.2269155074,40.092018874,,-0.47858101647,,1.5770425341,8.9908757115,25.72046196,2.911984451,78.996323268,35.107762849,7.2762119268,1.7106494595,158.661312,,,,27.497737387,327.11801756,0.13684198076,,,,,,95.292365861,1.8478033635,,,,35.331115414,11.686156879,5.1823731066,,,81.632237117,112.23681009,5.5423273228,,,,,,24.921559827,29.604527393,,82.463045866,1.7520983223,57.233159633,,0.33558485522,,4.1171187655,4.2572256336,83.33505936,,,,0.96984230594,68.510877928,39.442727583,204.73101951,2.3792011334,1835.1703005,2.0665096137,,,26.269886909,20.023353659,,,1.1035209184,2.9831303165,4398.4119838,3421.6192938,4357.9736011,3462.0576765,1231.0202138,240.66103749,2727.4652417,41.999538255,1911.2696813,434.95859608,2135.8104192,108.0173568,219.535865,256.42036761,-3.9790393203e-13,8076.4472885,
2006,1.5510641453,,,,,,41.179573854,1.3993194467,,97.174177465,30.039973298,10.073968744,,2.1742229362,11.345681473,,12.800954319,61.656772576,,1.5620621207,,,,,0.63346174151,98.044100661,,1.665324195,13.892415302,0.54186795667,,2.9037965944,157.22870794,,,,17.486861127,1401.5973857,18.727012681,,,,2.8904464451,2.189898285,7.7293192699,,,2.7021194706,31.483137009,,,19.810994934,,,9.1027823865,9.2905176404,43.274114817,2.4978796845,,,5.7854211794,1.2305295789,,,,24.482685338,150.22657068,,,,2.4471179696,284.58835461,3.4971895084,26.204037734,,,3.0561575013,0.48601258951,,,,1.7433885891,23.846889083,21.518333955,,321.74769716,89.963423286,,19.677433598,118.10129826,22.025923172,174.79570262,2.064976454,413.82574559,6.6579227737,44.29087751,3.6141271532,,,17.440631922,2.3649281384,0.82578205803,4.1521993765,,,,,,6.3252163914,4.0633294089,,,0.74718664382,0.23898502759,37.844102189,,,1.0525380986,,,1.3184714977,137.74455889,2.613607575,,,13.521360465,1.6402871312,,0.59375115639,,1.1781211927,63.013715201,,10.871905633,1.5496721613,,20.236921552,,13.579597102,,9.6606725532,42.825511138,,-0.0737957478,,1.6276695711,8.8289802404,22.875021503,2.9964835882,86.585752299,31.301158989,8.6100658398,1.7037183621,165.6975185,,,,28.801353512,338.97180166,0.13961076994,,,,,,107.55488504,1.6066799561,,,,38.548091646,12.318418779,5.7132020362,,,90.986675983,113.62078611,5.6763836552,,,,,,25.255641828,32.069226956,,83.737415647,1.9854782515,56.626345329,,1.0146990655,,3.6184860942,4.3931074391,89.764508704,,,,1.1029806565,72.659501815,46.823781803,205.79313657,2.3678345905,1830.7094914,2.2689395235,,,26.378770547,20.573171203,,,1.2552885071,3.0728089314,4427.0637173,3655.3462228,4387.2512804,3695.1586598,1256.7965836,255.60458039,2878.1455508,45.342128263,1962.9760148,474.90956519,2126.5344663,110.92872707,227.70676888,270.69845915,9.0949470177e-13,8353.1023949,
2007,1.6255410093,,,,,,42.589860594,2.7590251911,,100.25237715,28.815694866,8.3941369171,,3.1080880455,11.536878991,,13.470409572,64.057473013,,1.7290142438,,,,,0.74369464587,107.25049678,,1.9233483231,14.745433757,0.60692876853,,3.0479539243,163.60661911,,,,19.120491319,1513.4886403,19.55752634,,,,3.2785637837,2.2408307175,8.1055598607,,,2.9351267679,33.239928627,,,19.141995055,,,7.679569025,10.465950086,47.072680942,2.4913484745,,,5.7970700848,1.3170294638,,,,24.214344129,150.19272278,,,,2.7669544681,283.94270973,3.6767047272,26.471864229,,,2.9819250754,0.5074089564,,,,1.8520524312,23.44560868,22.443906517,,353.80917542,100.41842041,,19.820440396,133.00698162,22.153383884,171.24047267,2.0631201125,416.05201819,7.049500711,47.514215578,3.8862560148,,,18.490286216,2.624303813,0.8863734159,4.8413152703,,,,,,6.6571254441,3.2432764607,,,0.79252629216,0.23056765879,40.427816692,,,1.2923985368,,,1.297144479,135.85093768,3.3450673097,,,14.813443888,1.9462641621,,0.68824339877,,1.3068308188,54.397703054,,10.944174779,1.6760221639,,22.451422328,,14.983640853,,11.109055417,45.843700647,,0.15400204883,,1.8547238128,10.80464762,24.689436711,3.1311014178,88.73258639,31.525370634,10.122028789,2.0338742288,172.67385989,,,,30.911394371,358.47132425,0.15102594062,,,,,,100.91582334,1.8260260079,,,,35.813468784,13.273575813,6.2393363547,,,92.80341771,116.93277629,5.2701744782,,,,,,25.054244368,29.336547654,,79.154470991,1.4422394557,57.863479877,,0.35833470403,,5.2572500142,4.47906448,99.542579039,,,,1.2342088308,79.940446298,51.670242184,205.32693151,2.5080196869,1812.0134637,2.3937053269,,,28.827107254,21.29676566,,,1.5521345529,3.0109456656,4446.1741134,3864.6071405,4391.842766,3918.9384879,1258.2658455,265.46272615,3041.1664678,45.137707017,1990.9672829,494.3629306,2112.232329,114.39877185,246.9396586,286.3159118,-6.8212102633e-13,8597.0889779,
2008,1.7855884921,,,,,,47.141287756,1.7817412162,,99.015006489,28.304611616,9.2170447072,,3.671536527,12.196009867,,14.219645237,63.940948723,,2.0551180671,,,,,0.91024374764,120.96145084,,2.1025488065,15.011042217,0.61321460407,,3.6096860765,159.30286456,,,,21.82214585,1629.1095711,20.966897614,,,,3.4500879602,2.2394550984,9.2028170541,,,3.2289759933,33.892941169,,,18.658276509,,,7.4234635994,9.7338673613,49.883124787,2.4231796947,,,4.7763903013,1.4568681919,,,,22.563964234,148.40825859,,,,2.5258007983,283.41478943,3.7812611728,26.527209519,,,2.7428888454,0.53209397999,,,,3.8067958522,23.291162159,22.787365742,,376.90107034,100.43386478,,17.806828102,139.32022947,24.766457367,167.9727206,1.9167056773,410.12791425,7.8057123993,43.36813253,4.1269212478,,,19.5101837,4.4400663694,1.0559938911,4.4304706807,,,,,,6.1585930936,4.3282320565,,,1.1465695876,0.25411943527,44.818081676,,,1.6146697952,,,1.4538037847,137.87306909,3.57127388,,,16.361339554,2.2559162633,,0.88247396511,,1.6757450223,60.485766941,,11.044431513,1.5437170212,,24.623564387,,13.905005096,,12.093308625,45.768064338,,0.024718273736,,2.2290499394,12.522360945,27.27804181,3.2971372183,89.834117402,31.390864381,10.54503874,2.116148798,174.4075151,,,,31.802502644,364.56194446,0.15134332911,,,,,,113.27960132,1.9492621636,,,,51.518922571,14.164737371,6.3774273019,,,92.870494439,107.3335973,5.6296554865,,,,,,24.56184034,29.09288058,,77.571381597,1.7604025091,60.663864718,,0.34446158,,5.0735302155,4.5730523032,96.060650512,,,,1.3052694905,81.636257148,60.079091638,196.40190254,3.1465517266,1723.6217718,3.0283033017,,,29.062813774,24.084818945,,,1.7739459291,2.832237049,4333.9681217,4122.0449574,4276.0943323,4179.9187467,1248.9799591,279.36650603,3209.6956093,45.276340873,1981.8052898,532.10313845,2021.5696248,113.91070098,271.70947317,289.05666036,2.9558577808e-12,8745.0607329,
2009,1.887171082,,,,,,43.031830319,1.6064442406,,107.64913115,26.008593162,8.7016891641,,4.6456030929,13.295717134,,15.401548063,54.732093697,,1.7629888918,,,,,1.0514774859,112.94363724,,1.7625735126,12.25557313,0.80363744364,,3.1765638907,156.98974654,,,,17.520002347,1834.4412188,21.583819002,,,,2.8518241374,1.9435899353,6.9989872116,,,2.3830242854,31.149906377,,,16.982082669,,,15.127987493,10.150744983,54.327285156,2.1568463341,,,3.8402107095,1.5301721639,,,,19.048495606,137.81775476,,,,2.059740028,265.44225688,3.2113024209,28.925030516,,,2.7467954954,0.89515810276,,,,1.9027887916,19.677582149,18.924922608,,416.2780822,107.88816284,,14.416458671,140.75352181,21.824072097,154.26198999,1.5036551528,380.97880816,8.2572165914,41.98465811,4.6913189154,,,20.943795535,3.5708269159,1.362898684,3.2811311556,,,,,,5.7937654187,2.5708640365,,,0.95806276044,0.24699849834,42.962006164,,,1.266432445,,,1.3274339687,132.61551245,3.6707680489,,,15.60039739,2.3495150235,,0.80768173795,,1.0027680874,52.922763022,,9.7177047416,1.5099054641,,23.581473738,,14.046454243,,12.011708814,45.601515655,,0.32572011913,,1.9388031896,12.50979217,25.527756594,3.4296729376,84.696068041,26.05850325,12.853144623,2.6488204223,156.86433949,,,,25.333759367,351.20870733,0.15053348532,,,,,,129.22272163,1.7122697919,,,,28.573062761,13.294119284,5.2886020337,,,94.706777317,94.308705846,5.2150221901,,,,,,21.081073371,28.354910143,,66.420640893,1.5951396696,60.849548309,,0.59508166831,,6.7719346869,5.1734308488,89.11133907,,,,1.4799755068,68.55450013,55.4007607,171.59727799,2.7046959931,1577.3605303,2.7781011074,,,35.563857058,25.987325369,,,1.4705480042,2.6438805227,3992.730732,4325.5348393,3937.2395737,4381.0259975,1129.0831675,291.40271567,3364.6138488,50.357766975,1807.5535021,551.40190566,1867.5527433,122.80822384,262.57486487,277.01647083,2.842170943e-13,8595.3238471,
